totM_list,totR_list,totM_list_TOV,totR_list_TOV
0.015343091553556735,0.050586782318983545,0.015343052675435738,0.050586782318983545
0.019388465070413814,0.04677140477353161,0.01938839791755894,0.04677140477353161
0.024491989629999437,0.0432422379871916,0.024491873710934527,0.0432422379871916
0.03092435305828051,0.039977309934803404,0.03092415312767397,0.039977309934803404
0.03902113055051407,0.03695651549530546,0.039020786116183585,0.036956371887297876
0.049195242549788645,0.03416075480368929,0.049194650089057525,0.03416061119568171
0.06194957432332227,0.03157250768302984,0.06194855736738766,0.03157222046701468
0.07788790461084226,0.029175402820462708,0.07788616392680622,0.029175259212455125
0.09772088727591084,0.026954361375191718,0.09771791902827964,0.026954074159176555
0.12226189685100923,0.024894735330443462,0.12225686059625575,0.0248944481144283
0.152405282133416,0.022983456357527934,0.15239679302077122,0.022983169141512768
0.18907769737614885,0.02120788695177787,0.18906350941468483,0.021207456127755122
0.23315328631202056,0.019556394864579087,0.2331298295867103,0.019555820432548755
0.28532807666412774,0.0180182094953629,0.2852898172921,0.018017491455324986
0.3459604810014581,0.016583565499613696,0.345899096375267,0.01658256024356062
0.41490322637148197,0.015243415572853778,0.414806634524083,0.015242266708793119
0.4913713940793962,0.013990435706696442,0.49122273776532704,0.0139891432346282
0.5738991598295644,0.012818019932792888,0.573675898217017,0.012816440244709482
0.6604221668833969,0.011720711146854985,0.6600954347924962,0.011718844242756413
0.7484834212450072,0.010694201108655255,0.7480177547039617,0.010692046988541518
0.8355161528811315,0.009734899618004136,0.8348695643620118,0.009732601889882815
0.9191319813845954,0.008839790906742397,0.9182562472392867,0.00883720596260591
0.997349090263111,0.008006433638741133,0.9961900386718323,0.008003561478589482
1.068724574117408,0.007232099261856278,1.0672221562945445,0.007229083493697045
1.1323887506841919,0.006514777263981676,1.130476726787922,0.006511617887814861
1.1880023993409197,0.005852169916996008,1.1856075408684357,0.005848723324814028
1.235666586445444,0.005241692276762789,1.2327073601659224,0.005238245684580809
1.275812613005715,0.00468119022316828,1.2721973528873067,0.0046776000229787175
1.3090924034002518,0.004168509636098745,1.3047169947324118,0.0041647758279016
1.336281696101928,0.003700921963410116,1.3310267948961152,0.003697188155212971
1.3582018758837713,0.003276273084988655,1.3519296732583947,0.0032723956687839275
1.3756617778914644,0.0028918344486902952,1.3682122992967933,0.00288810064049315
1.3894180745730447,0.0025454519344012983,1.3806049811194578,0.0025417181262041536
1.4001514584007329,0.0022345405979851797,1.3897572953163457,0.002230806789788035
1.4084553145223015,0.0019565154953054545,1.396226130793666,0.0019527816871083095
1.4148336021362942,0.001708791682225637,1.4004728474478265,0.0017052014820360744
1.4197050007325314,0.0014890714306244077,1.4028665909976719,0.0014854812304348451
1.4234108718258949,0.0012947697963652813,1.4036913036920302,0.0012913232041833014
1.4262251325871955,0.001123589051326938,1.403154520680206,0.0011202860671525405
1.4283646641407366,0.0009733750753956401,1.4013965735142078,0.0009700720912212426
1.4299993391518482,0.000841686532442485,1.3984992906765341,0.00083852715627567
1.4312611282284975,0.0007269437343840652,1.3944936685591969,0.0007236407502096677
1.432252025842318,0.0006268489530990608,1.3893662800904623,0.0006236895769322458
1.4330507331425082,0.0005399661085116466,1.3830643996381218,0.0005369503403524141
1.4337181574337623,0.00046457190453083266,1.3754999688010157,0.0004615561363716001
1.4343018575454765,0.00039937386908837637,1.3665526241524848,0.00039650170893672633
1.4348395930050772,0.0003429359221084528,1.3560720731832188,0.0003402073699643852
1.4353621401488152,0.00029439641554556686,1.3438801549422275,0.00029152425539391677
1.4358955265014524,0.00025246287733147603,1.329772963619882,0.00024973432518740846
1.4364628207202894,0.0002164172674282678,1.3135234558640982,0.00021368871528420024
