totM_list_TOV,totR_list_TOV
1.683880547848465e-17,2.8721601660108566e-07
2.694539512293609e-17,2.8721601660108566e-07
4.311547481089082e-17,2.8721601660108566e-07
6.89864454513738e-17,2.8721601660108566e-07
1.103776623912911e-16,2.8721601660108566e-07
1.765993045860008e-16,2.8721601660108566e-07
2.825463812367393e-16,2.8721601660108566e-07
4.520488476800687e-16,2.8721601660108566e-07
7.232313189697019e-16,2.8721601660108566e-07
1.1570878564272784e-15,2.8721601660108566e-07
1.8512004177047793e-15,2.8721601660108566e-07
2.9616864434813426e-15,2.8721601660108566e-07
4.7383119030961685e-15,2.8721601660108566e-07
7.580667219299535e-15,2.8721601660108566e-07
1.2128040831336317e-14,2.8721601660108566e-07
1.940320422933396e-14,2.8721601660108566e-07
3.1042447740311976e-14,2.8721601660108566e-07
4.9663605348360895e-14,2.8721601660108566e-07
7.945484249407505e-14,2.8721601660108566e-07
1.271166334746694e-13,2.8721601660108566e-07
2.033687923368209e-13,2.8721601660108566e-07
3.253615095700253e-13,2.8721601660108566e-07
5.205326704252812e-13,2.8721601660108566e-07
8.327790195929931e-13,2.8721601660108566e-07
1.332329153280116e-12,2.8721601660108566e-07
2.1315389123028913e-12,2.8721601660108566e-07
3.4101617803204834e-12,2.8721601660108566e-07
5.455777951981509e-12,2.8721601660108566e-07
8.728475131743402e-12,2.8721601660108566e-07
1.396432867606581e-11,2.8721601660108566e-07
2.234095520421567e-11,2.8721601660108566e-07
3.5742374990160537e-11,2.8721601660108566e-07
5.7182754375234526e-11,2.8721601660108566e-07
9.148433376920791e-11,2.8721601660108566e-07
1.4636201668347574e-10,2.8721601660108566e-07
2.341585589644035e-10,2.8721601660108566e-07
3.746206264303188e-10,2.8721601660108566e-07
5.993400948947925e-10,2.8721601660108566e-07
9.588595027197169e-10,2.8721601660108566e-07
1.534039770954758e-09,2.8721601660108566e-07
2.4542469492477323e-09,2.8721601660108566e-07
3.926448439078134e-09,2.8721601660108566e-07
6.28176283806061e-09,2.8721601660108566e-07
1.0049933108598828e-08,2.8721601660108566e-07
1.607847311143336e-08,2.8721601660108566e-07
2.5723285188266717e-08,2.8721601660108566e-07
4.1153621265622777e-08,2.8721601660108566e-07
6.583997728449622e-08,2.8721601660108566e-07
1.0533465471161938e-07,2.8721601660108566e-07
1.6852054701897097e-07,2.8721601660108566e-07
