totM_list_TOV,totR_list_TOV
inf,4.308240228911164e-06
inf,4.308240228911164e-06
inf,4.308240228911164e-06
inf,4.308240228911164e-06
inf,4.308240228911164e-06
1.6239161937850334e+23,4.164632221328661e-06
9.034821670838224e+25,4.164632221328661e-06
1.3820610127088314e+29,4.164632221328661e-06
7.158743976652e+32,4.164632221328661e-06
1.6396779528890809e+37,4.164632221328661e-06
2.355702672947626e+42,4.164632221328661e-06
3.387680851676418e+48,4.164632221328661e-06
9.207049311633991e+55,4.164632221328661e-06
1.1349170134925555e+65,4.164632221328661e-06
2.1434882490110652e+76,4.164632221328661e-06
3.417538376594908e+90,4.164632221328661e-06
5.137022193973139e+108,4.164632221328661e-06
2.2899248680232956e+132,4.164632221328661e-06
4.444083584322224e+163,4.164632221328661e-06
5.568681378809048e+205,4.164632221328661e-06
inf,4.164632221328661e-06
inf,4.164632221328661e-06
inf,4.164632221328661e-06
1.0162239560466726e+24,4.021024213746159e-06
8.305624348863976e+31,4.021024213746159e-06
1.4485052439895856e+43,4.021024213746159e-06
1.1281072178174498e+59,4.021024213746159e-06
3.376213038073637e+81,4.021024213746159e-06
4.619007626164017e+113,4.021024213746159e-06
3.833196402125414e+160,4.021024213746159e-06
9.400967289411318e+230,4.021024213746159e-06
inf,4.021024213746159e-06
inf,4.021024213746159e-06
6.375968568447296e+29,3.877416206163656e-06
7.426252517988543e+44,3.877416206163656e-06
3.557008378255679e+68,3.877416206163656e-06
8.885249097043042e+105,3.877416206163656e-06
5.2294837157596403e+166,3.877416206163656e-06
inf,3.877416206163656e-06
inf,3.877416206163656e-06
5.947679237263812e+29,3.733808198581153e-06
3.778539192750162e+50,3.733808198581153e-06
4.045928306085373e+87,3.733808198581153e-06
1.2816787694460062e+155,3.733808198581153e-06
inf,3.733808198581153e-06
7.141212802252842e+21,3.59020019099865e-06
7.11665339029122e+41,3.59020019099865e-06
2.21306625935525e+83,3.59020019099865e-06
2.8328498671540287e+171,3.59020019099865e-06
inf,3.59020019099865e-06
