totM_list,totR_list,totM_list_TOV,totR_list_TOV
0.01565206001875058,0.050921245368643196,0.01565201982575779,0.05092110176063561
0.0197807360084956,0.047081023637879485,0.019780666572946578,0.047081023637879485
0.024990677063037245,0.043529166786341444,0.02499055717642027,0.04352902317833386
0.03155942968914978,0.0402432719648462,0.031559222851929074,0.04024312835683862
0.0398317418789752,0.037203234052332196,0.03983138539781971,0.03720309044432461
0.05023294471377883,0.03438995318379097,0.05023233118730246,0.03438980957578339
0.06328290144674134,0.03178576557428986,0.06328184753941356,0.031785621966282276
0.07960881877910607,0.029374299910964474,0.0796070130407595,0.02937415630295689
0.09995379741896135,0.02714033374501106,0.09995071417595984,0.027140046528995893
0.12517594062010082,0.025069362667663787,0.12517070026960114,0.02506907545164862
0.15623020560255044,0.02314803113421748,0.15622135307438964,0.023147600310194735
0.19412251967084496,0.021363701640004885,0.19410768374081813,0.021363270815982136
0.2398244628955594,0.019704885544419393,0.23979985330516032,0.019704167504381483
0.29413981040874454,0.01816052503087716,0.2940995149411274,0.018159663382831665
0.3575250850579724,0.016720711146854986,0.357460155541907,0.01671970589080191
0.4298871992557696,0.015376540195882759,0.4297845724283587,0.015375391331822098
0.5104083140603557,0.014120113737543441,0.5102496947579396,0.0141188212654752
0.5974670408953251,0.01294482580348824,0.5972279490902459,0.012943102507397249
0.6887157248345506,0.011844788465406268,0.6883649202887978,0.011842921561307694
0.7813260789394384,0.010815406267054887,0.7808254865090619,0.010813252146941149
0.8723483527648335,0.009852945400236953,0.8716534364379134,0.009850504064108052
0.9590828893619718,0.008953959272770486,0.9581432477858686,0.008951374328634
1.0393664397146964,0.008116006548526582,1.0381263103536507,0.00811299078036735
1.1117211933639919,0.0073362150673535916,1.1101195845849727,0.007333055691186777
1.1753687696188568,0.006612430709137778,1.1733390472521297,0.0066089841169557975
1.2301464258334878,0.005942499353765402,1.227615297123806,0.00593890915357584
1.2763719755972915,0.005324266881122728,1.273257894753758,0.005320676680933165
1.314696048094811,0.004755722779103599,1.310907103564551,0.004751988970906454
1.3459665886574625,0.004234712927594279,1.3413979325908798,0.004230835511389551
1.3711179653332346,0.0037590832064810296,1.3656488255857366,0.003755205790276302
1.3910882278684156,0.0033266794956501138,1.3845785142502567,0.003322802079445386
1.4067628889938677,0.002935204066980211,1.3990493754819706,0.0029313266507754836
1.4189410959772841,0.0025823591923500016,1.4098331328140592,0.002578481776145274
1.4283192429658673,0.0022655599276230004,1.4175939284046992,0.0022618261194258553
1.4354872070888427,0.001982364936670305,1.4228839286054908,0.00197863112847316
1.4409330009153594,0.0017303328833630123,1.4261472397150792,0.0017265990751658673
1.445052436749495,0.0015067352155570554,1.4277287174386712,0.0015031450153674929
1.4481612281728793,0.0013094178131386966,1.4278850873269426,0.001305827612949134
1.4505077156934583,0.0011355085159562856,1.4267965589939862,0.0011322055317818881
1.4522850462849717,0.0009831404199112503,1.4245777645580453,0.0009798374357368527
1.453642139850269,0.0008497285808671052,1.421287361603681,0.0008464255966927077
1.4546931440947783,0.0007334060947252779,1.4169360173308194,0.0007302467185584629
1.4555253250079132,0.0006321624493796134,1.4114927489903022,0.0006291466812203809
1.456205491467981,0.0005444179567467043,1.4048897633712336,0.0005412585805798892
1.4567851295944882,0.0004681621047203952,1.397026037498341,0.00046514633656116267
1.4573044532835318,0.00040238963724760897,1.3877699424645251,0.00039937386908837637
1.4577955742987005,0.00034552086624493785,1.376961247834261,0.0003425050980857053
1.4582849800053677,0.00029640692765172186,1.3644128736790015,0.0002935347675000718
1.458795480231992,0.00025418617342246605,1.3499127851794557,0.000251314013270816
1.4593477601387195,0.00021770973949651032,1.3332264623266235,0.00021512479536002526
